Term,Translation,Status,ReviewedBuildId,Comment
Achievements/NEW_ACHIEVEMENT_16_0_DESC,"두더지 대왕, 아보가드로를 처치하세요.",draft,,
Achievements/NEW_ACHIEVEMENT_16_0_NAME,두더지 잡기,draft,,
Achievements/NEW_ACHIEVEMENT_16_10_DESC,한 번의 샷으로 페그를 1000개 이상 맞히세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_10_NAME,조심조심 페그 밟기,draft,,
Achievements/NEW_ACHIEVEMENT_16_11_DESC,적의 체력을 단 1만큼만 남기세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_11_NAME,너 딱 기다려라,draft,,
Achievements/NEW_ACHIEVEMENT_16_12_DESC,적을 6턴 동안 얽힘 상태로 유지하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_12_NAME,빨강 슬라임 초록 슬라임,draft,,
Achievements/NEW_ACHIEVEMENT_16_13_DESC,성에 들어가기 전에 아보가드로의 나무를 처치하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_13_NAME,나무라기 전에 비켜줄래?,draft,,
Achievements/NEW_ACHIEVEMENT_16_14_DESC,비밀구슬 유적을 처치하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_14_NAME,붕괴 위험 구역,draft,,
Achievements/NEW_ACHIEVEMENT_16_15_DESC,공병 대장을 처치하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_15_NAME,공병 청소기,draft,,
Achievements/NEW_ACHIEVEMENT_16_16_DESC,크루시볼 레벨 5를 완료하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_16_NAME,크루시볼 배달부,draft,,
Achievements/NEW_ACHIEVEMENT_16_17_DESC,크루시볼 레벨 10을 완료하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_17_NAME,크루시볼 대장,draft,,
Achievements/NEW_ACHIEVEMENT_16_18_DESC,크루시볼 레벨 15를 완료하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_18_NAME,크루시볼 사령관,draft,,
Achievements/NEW_ACHIEVEMENT_16_19_DESC,구슬이 아무데도 닿지 않고 슬라임 페그에만 7번 튕기게 하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_19_NAME,슬라임 또 슬라임,draft,,
Achievements/NEW_ACHIEVEMENT_16_1_DESC,슬라임 보스를 처치하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_1_NAME,슬라임 따임,draft,,
Achievements/NEW_ACHIEVEMENT_16_20_DESC,적 하나의 감염 수치를 40 이상으로 만드세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_20_NAME,중독 IV,draft,,
Achievements/NEW_ACHIEVEMENT_16_21_DESC,보호막이 100개 이상 남은 상태로 전투에서 승리하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_21_NAME,도자기 가게의 보호막,draft,,
Achievements/NEW_ACHIEVEMENT_16_22_DESC,레시 벳시를 처치하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_22_NAME,새로운 생명줄,draft,,
Achievements/NEW_ACHIEVEMENT_16_23_DESC,상상의 안료를 처치하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_23_NAME,조각난 명작,draft,,
Achievements/NEW_ACHIEVEMENT_16_24_DESC,탐욕스러운 용 테사우로수스를 처치하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_24_NAME,보물이 부족한데,draft,,
Achievements/NEW_ACHIEVEMENT_16_25_DESC,어셈볼을 완성하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_25_NAME,일부 조립 필요,draft,,
Achievements/NEW_ACHIEVEMENT_16_26_DESC,치명적인 황금 양털로 치명타 배율 5배를 달성하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_26_NAME,치명적인 사고,draft,,
Achievements/NEW_ACHIEVEMENT_16_27_DESC,부하가 모두 나타날 때까지 발리스타 민병대와 전투를 벌이세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_27_NAME,풀 스윕,draft,,
Achievements/NEW_ACHIEVEMENT_16_28_DESC,크루시볼 레벨 10 이상에서 해글린의 상점에 있는 모든 아이템과 유물을 구매하고 구슬 하나를 제거하세요.,draft,,
Achievements/NEW_ACHIEVEMENT_16_28_NAME,내 회원 카드 어딨어?!,draft,,
