Term,Translation,Status,ReviewedBuildId,Comment
Challenges/add_horriballs_desc,"덱에 끔찍구 {[ADD_HORRIBALLS_CHALLENGE_AMOUNT]}개를 추가합니다. 단, 소지한 모든 끔찍구는 막이 끝날 때 파괴됩니다.",draft,,
Challenges/add_horriballs_name,다다익끔찍구,draft,,
Challenges/add_pebballs_desc,덱에 있는 펩볼마다 같은 펩볼을 1개씩 추가합니다.,draft,,
Challenges/add_pebballs_name,모 아니면 펩볼,draft,,
Challenges/blind_next_act_desc,다음 막에서는 <style=blind>어둠 100</style>을 가진 상태로 각 노드에 입장합니다.,draft,,
Challenges/blind_next_act_name,전투에 눈이 멀어,draft,,
Challenges/enemies_do_more_damage_desc,다음 막에서는 두 번 발사할 때마다 적들이 <style=strength>근력을 {[ENEMY_DMG_CHALLENGE_AMOUNT]}</style> 얻습니다.,draft,,
Challenges/enemies_do_more_damage_name,생명의 근력,draft,,
Challenges/enemies_gain_ballwark_desc,다음 막에서는 적이 매 턴 최대 체력의 {[BALLWARK_CHALLENGE_AMOUNT]}%만큼 <style=shield>보호막</style>을 얻습니다.,draft,,
Challenges/enemies_gain_ballwark_name,모두를 위한 보호막,draft,,
Challenges/fight_boss_desc,이번 막의 다른 보스와 싸우며 다음 막을 시작합니다. 전투 후 보상은 주어지지 않습니다.,draft,,
Challenges/fight_boss_name,두 번째 보스 축제?,draft,,
Challenges/fight_miniboss_desc,다음 막의 미니보스와 싸우며 다음 막을 시작합니다. 전투 후 보상은 주어지지 않습니다.,draft,,
Challenges/fight_miniboss_name,미니보스화,draft,,
Challenges/hp_to_purchase_desc,다음 막에서는 골드 대신 <style=damage>체력을 지불하여</style> 구매합니다.,draft,,
Challenges/hp_to_purchase_name,체력이 곧 재력,draft,,
Challenges/mimics_are_more_common_desc,???,draft,,
Challenges/mimics_are_more_common_name,오버트의 악몽,draft,,
Challenges/next_act_has_no_treasure_nodes_desc,다음 막에는 보물 노드가 등장하지 않습니다.,draft,,
Challenges/next_act_has_no_treasure_nodes_name,털려버린 무덤,draft,,
Challenges/remove_orb_after_adding_desc,다음 막에서는 구슬을 추가할 때마다 펩볼이 아닌 구슬 1개를 제거해야 합니다.,draft,,
Challenges/remove_orb_after_adding_name,빈자리 없볼,draft,,
Challenges/some_relics_dont_work_desc,다음 막에서는 매 전투마다 무작위 유물 {[RELICS_DONT_WORK_CHALLENGE_AMOUNT]}개가 비활성화됩니다.,draft,,
Challenges/some_relics_dont_work_name,유물 로테이션,draft,,
Challenges/spinfection_pegs_desc,"다음 막에서는 미니언이 아닌 적이 사망할 때 <sprite name=""PEG""> {[SPINFECTION_PEG_CHALLENGE_AMOUNT]}개를 <sprite name=""SPINFECTION_PEG"">로 바꿉니다. 이 페그가 <style=activate>활성화</style>되면 플레이어에게 <style=player_poison>감염 1</style>을 부여합니다.",draft,,
Challenges/spinfection_pegs_name,한물간 방호복,draft,,
Challenges/taste_the_painbow_desc,다음 막 내내 페인보우 슬라임이 쫓아옵니다.,draft,,
Challenges/taste_the_painbow_name,페인보우 소환,draft,,
