Term,Translation,Status,ReviewedBuildId,Comment
Cruciball/bosses_increased_health,보스의 체력이 증가합니다.,draft,,
Cruciball/cruciball_victory_text,크루시볼 레벨 {[CRUCIBALL_LEVEL]} 해금!,draft,,
Cruciball/elites_in_scenario,미니보스 전투가 ? 시나리오에 등장할 수 있습니다.,draft,,
Cruciball/fewer_crit_pegs,"페그보드의 <sprite name=""CRIT_PEG"">가 1개 줄어듭니다.",draft,,
Cruciball/fewer_refresh_pegs,"페그보드의 <sprite name=""REFRESH_PEG"">가 1개 줄어듭니다.",draft,,
Cruciball/fewer_special_pegs,"페그보드의 <sprite name=""CRIT_PEG"">와 <sprite name=""REFRESH_PEG"">가 줄어듭니다.",draft,,
Cruciball/horriball_start,매 회차를 <style=dmg_negative>끔찍구</style> 1개와 함께 시작합니다.,draft,,
Cruciball/increased_enemy_reload_turns,재장전할 때 적이 한 턴을 더 가집니다.,draft,,
Cruciball/increased_misnavigation_damage,이동 실패로 받는 대미지가 <style=damage>{[CRUCIBALL_MISNAV_DMG]}</style>로 증가합니다.,draft,,Reuses the established Korean phrase 이동 실패 from related map-movement descriptions.
Cruciball/increased_rigged_bomb_damage,"<sprite name=""RIGGED_BOMB"">의 <style=damage>자해 대미지가 {[RIGGED_DMG_SELF_CRUCIBALL]}로 증가합니다</style>.",draft,,
Cruciball/less_battle_gold_no_starting_gold,여러 상황에서 획득할 수 있는 골드가 감소합니다.,draft,,
Cruciball/less_boss_healing,보스를 처치해도 최대 체력의 {[CRUCIBALL_BOSS_HEAL]}%만 회복합니다.,draft,,
Cruciball/lower_max_health,<style=damage>최대 체력이 {[CRUCIBALL_MAX_HP_REDUCTION]}% 감소한</style> 상태로 시작합니다.,draft,,
Cruciball/miniboss_damage_inc,미니보스가 주는 <style=damage>대미지가 증가</style>합니다.,draft,,
Cruciball/reduced_bomb_damage,"<sprite name=""BOMB_REGULAR"">은 <style=dmg_negative>{[CRUCIBALL_BOMB_REDUCTION]} 대미지</style>를, <sprite name=""RIGGED_BOMB"">은 <style=dmg_negative>{[CRUCIBALL_RIGGED_REDUCTION]} 대미지</style>를 줍니다.",draft,,
Cruciball/reduced_post_battle_heal,전투 후 회복량이 {[CRUCIBALL_POST_BATTLE_HEAL]}%로 감소합니다.,draft,,
Cruciball/reg_battles_add_enemies,일반 전투에서 적이 추가로 등장할 수 있습니다.,draft,,
Cruciball/regular_enemies_increased_health,적과 미니보스의 체력이 증가합니다.,draft,,
Cruciball/shop_prices_inc,해글린의 상점 가격이 오릅니다.,draft,,
Cruciball/terriball_start,매 회차를 <style=dmg_negative>구려구</style> 1개와 함께 시작합니다.,draft,,
Cruciball/terriball_start2,매 회차를 <style=dmg_negative>구려구</style> 2개와 함께 시작합니다.,draft,,
Cruciball/upgraded_bosses,각 보스가 나름의 방식으로 더 어려워집니다.,draft,,
Cruciball/weak_stones,"매 회차를 펩볼 1개를 더 가진 채 시작하며, 펩볼의 대미지가 <style=dmg_negative>{[WEAK_STONE_DMG_RED]}/{[WEAK_STONE_CRIT_RED]}</style> 감소합니다.",draft,,
