Term,Translation,Status,ReviewedBuildId,Comment
Menu/Abandon Run,이번 게임 포기하기,draft,,
Menu/Add,추가하기,draft,,
Menu/Additional Art,추가 아트,draft,,
Menu/BGM,배경 음악,draft,,
Menu/Back,"뒤로 가기
",draft,,
Menu/Battle/card_unlocked,이 적의 카드가 해금되었습니다!,draft,,
Menu/Buttons/leave,나가기,draft,,
Menu/Buttons/restore_purchases,모든 구매 항목 복원,draft,,
Menu/Buttons/show_all_orb_levels,모든 구슬 레벨 보기,draft,,
Menu/Buttons/unlock_full_game,풀 버전 해금,draft,,
Menu/CM_Credits,커뮤니티 운영,draft,,
Menu/Click,클릭[i2s_Touch]터치,draft,,
Menu/Click to Aim,클릭해 조준하기,draft,,
Menu/Confirm,확인,draft,,
Menu/Controls/Actions/Back,버리기,draft,,
Menu/Controls/Actions/Confirm,발사,draft,,
Menu/Controls/Actions/DeckButton,덱,draft,,
Menu/Controls/Actions/EnemyInfo,적 정보,draft,,
Menu/Controls/Actions/MapButton,지도,draft,,
Menu/Controls/Actions/Pause,일시정지,draft,,
Menu/Controls/Actions/RelicAndOrbInfo,유물 및 구슬 정보,draft,,
Menu/Controls/Actions/ShowAllUpgrades,모든 업그레이드 표시 전환,draft,,
Menu/Controls/Actions/Speedup,가속,draft,,
Menu/Controls/Actions/TargetLeft,왼쪽 표적으로 변경,draft,,
Menu/Controls/Actions/TargetRight,오른쪽 표적으로 변경,draft,,
Menu/Controls/action_column_label,동작,draft,,
Menu/Controls/add,추가하기,draft,,
Menu/Controls/assign_controller_button_label,컨트롤러 할당,draft,,
Menu/Controls/assign_controller_window_message,사용하려는 컨트롤러에서 아무 버튼이나 누르거나 스틱을 조작하세요.,draft,,
Menu/Controls/assign_controller_window_title,컨트롤러 선택,draft,,
Menu/Controls/assigned_controllers_group_label,할당된 컨트롤러:,draft,,
Menu/Controls/calibrate_axis_step1_window_message,{0}의 중앙이나 영점을 맞추고 아무 버튼이나 누르거나 타이머가 완료될 때까지 기다리세요.,draft,,
Menu/Controls/calibrate_axis_step1_window_title,영점 보정,draft,,
Menu/Controls/calibrate_axis_step2_window_message,{0}을 전체 범위에 걸쳐 움직인 다음 아무 버튼이나 누르거나 타이머가 끝날 때까지 기다리세요.,draft,,
Menu/Controls/calibrate_axis_step2_window_title,범위 보정,draft,,
Menu/Controls/calibrate_controller_button_label,보정,draft,,
Menu/Controls/calibrate_controller_window_title,컨트롤러 보정,draft,,
Menu/Controls/calibrate_window_calibrate_button_label,보정,draft,,
Menu/Controls/calibrate_window_dead_zone_slider_label,데드존:,draft,,
Menu/Controls/calibrate_window_invert_toggle_label,반전,draft,,
Menu/Controls/calibrate_window_sensitivity_slider_label,감도:,draft,,
Menu/Controls/calibrate_window_zero_slider_label,영점:,draft,,
Menu/Controls/cancel,취소,draft,,
Menu/Controls/controller_assignment_conflict_window_title,컨트롤러 할당,draft,,
Menu/Controls/controller_column_label,컨트롤러,draft,,
Menu/Controls/controller_settings_group_label,컨트롤러:,draft,,
Menu/Controls/default,기본,draft,,
Menu/Controls/done,완료,draft,,
Menu/Controls/done_button_label,완료,draft,,
Menu/Controls/element_already_in_use_blocked,{0}은(는) 이미 사용 중이어서 교체할 수 없습니다.,draft,,
Menu/Controls/element_already_in_use_can_replace,{0}은(는) 이미 사용 중입니다. 교체할까요?,draft,,
Menu/Controls/element_already_in_use_can_replace_conflict_allowed,{0}은(는) 이미 사용 중입니다. 교체할까요? 기존 할당을 유지한 채 추가할 수도 있습니다.,draft,,
Menu/Controls/element_assignment_pre_polling_window_message,먼저 모든 스틱과 축의 중앙을 맞추거나 영점을 맞추고 아무 버튼이나 누르거나 타이머가 완료될 때까지 기다리세요.,draft,,
Menu/Controls/input_behavior_settings_button_label,감도,draft,,
Menu/Controls/input_behavior_settings_window_title,감도 설정,draft,,
Menu/Controls/joystick_element_assignment_polling_window_message,{0}에 할당할 버튼을 누르세요.,draft,,
Menu/Controls/joystick_element_assignment_polling_window_message_full_axis_field_only,이제 축을 움직여 {0}에 할당하세요.,draft,,
Menu/Controls/keyboard_column_label,키보드,draft,,
Menu/Controls/keyboard_element_assignment_polling_window_message,{0}에 할당할 키를 누르세요.,draft,,
Menu/Controls/map_categories_group_label,카테고리:,draft,,
Menu/Controls/mouse_column_label,마우스,draft,,
Menu/Controls/mouse_element_assignment_polling_window_message,마우스 버튼을 누르거나 축을 이동하여 {0}에 할당하세요.,draft,,
Menu/Controls/mouse_element_assignment_polling_window_message_full_axis_field_only,축을 이동하여 {0}에 할당하세요.,draft,,
Menu/Controls/no,아니오,draft,,
Menu/Controls/none,없음,draft,,
Menu/Controls/okay,확인,draft,,
Menu/Controls/players_group_label,플레이어:,draft,,
Menu/Controls/remove,제거,draft,,
Menu/Controls/remove_controller_button_label,제거,draft,,
Menu/Controls/replace,교체,draft,,
Menu/Controls/restore_defaults_button_label,기본값으로 복원,draft,,
Menu/Controls/restore_defaults_window_message_one_player,기본 입력 구성이 복원됩니다. 계속할까요?,draft,,
Menu/Controls/restore_defaults_window_title,기본값으로 복원,draft,,
Menu/Controls/settings_group_label,설정:,draft,,
Menu/Controls/swap,맞바꾸기,draft,,
Menu/Controls/yes,예,draft,,
Menu/Credits,제작진,draft,,
Menu/Duplicate,복제,draft,,
Menu/Encirclepedia/all_classes_label,모든 직업,draft,,
Menu/Encirclepedia/bestiary_label,괴물 도감,draft,,
Menu/Encirclepedia/card_label,카드,draft,,
Menu/Encirclepedia/encirclepedia_label,백과사전,draft,,
Menu/Encirclepedia/kill_label,처치,draft,,
Menu/Encirclepedia/loot_label,전리품,draft,,
Menu/Encirclepedia/points_label,점,draft,,
Menu/Encirclepedia/research_label,연구,draft,,
Menu/Encirclepedia/run_summaries_label,게임 요약,draft,,
Menu/Encirclepedia/total_games_label,총 게임 횟수:,draft,,
Menu/Encirclepedia/wins_label,승리:,draft,,
Menu/Encirclopedia/Achievements,도전 과제,draft,,
Menu/Fonts,글꼴,draft,,
Menu/How To Play,게임 방법,draft,,
Menu/Language/chinese_simplified,중국어 간체,draft,,
Menu/Language/chinese_traditional,중국어 번체,draft,,
Menu/Language/dutch,네덜란드어,draft,,
Menu/Language/english,영어,draft,,
Menu/Language/french,프랑스어,draft,,
Menu/Language/german,독일어,draft,,
Menu/Language/italian,이탈리아어,draft,,
Menu/Language/japanese,일본어,draft,,
Menu/Language/korean,한국어,draft,,
Menu/Language/polish,폴란드어,draft,,
Menu/Language/portuguese_brazilian,브라질 포르투갈어,draft,,
Menu/Language/russian,러시아어,draft,,
Menu/Language/slovak,슬로바키아어,draft,,
Menu/Language/spanish,스페인어,draft,,
Menu/Language/swedish,스웨덴어,draft,,
Menu/Language/turkish,튀르키예어,draft,,
Menu/Language/ukrainian,우크라이나어,draft,,
Menu/Localization,현지화,draft,,
Menu/Main Menu,메인 메뉴,draft,,
Menu/Menu/button_prompts_label,[i2s_PS4]버튼 프롬프트[i2s_PS5]버튼 프롬프트,draft,,
Menu/Menu/vibration_label,[i2s_PS4]진동[i2s_PS5]진동,draft,,
Menu/Music & SFX,음악 및 효과음,draft,,
Menu/New Orb,새 구슬,draft,,
Menu/No,아니오,draft,,
Menu/Options,설정,draft,,
Menu/Quit,종료,draft,,
Menu/Quit To Desktop,게임 종료하기,draft,,
Menu/Remove,제거,draft,,
Menu/Restart,재시작,draft,,
Menu/Resume,계속하기,draft,,
Menu/RunSummary/bombs_thrown,던진 폭탄,draft,,
Menu/RunSummary/class_body,새로운 캐릭터가 모험에 합류할 준비가 되었습니다!,draft,,
Menu/RunSummary/class_title,이게 뭔가요?,draft,,
Menu/RunSummary/cruciball_level,크루시볼 레벨,draft,,
Menu/RunSummary/custom_game,사용자 정의 게임,draft,,
Menu/RunSummary/damage_dealt,준 대미지,draft,,
