Term,Translation,Status,ReviewedBuildId,Comment
Orbs/activates_popped_pegs,"통과한 <sprite name=""PEG_CLEARED"">를 <style=activate>활성화</style>합니다.",draft,,
Orbs/activatorb_name,활성구,draft,,
Orbs/add_ballusion_on_exit,이 구슬이 페그보드를 벗어날 때 <style=dodge>{[STATUS_ON_EXIT]} 환각</style>을 얻습니다.,draft,,
Orbs/add_ballwark_on_draw,이 구슬을 뽑을 때 <style=ballwark>{[STATUS_EFFECT_GRANT_0]} 보호막</style>을 얻습니다.,draft,,
Orbs/add_ballwark_on_exit,이 구슬이 페그보드를 벗어날 때 <style=shield>{[STATUS_ON_EXIT]} 보호막</style>을 얻습니다.,draft,,
Orbs/add_ballwark_to_damage,보유한 <style=ballwark>{[STATUS_EFFECT_COUNT]} 보호막</style>마다 <style=dmg_bonus>+{[STATUS_EFFECT_BONUS_DMG]}/+{[STATUS_EFFECT_BONUS_CRIT]}</style>를 얻습니다.,draft,,
Orbs/add_ballwark_when_fired,공격 후 <style=ballwark>{[STATUS_EFFECT_GRANT_1]} 보호막</style>을 얻습니다.,draft,,
Orbs/add_ballwark_when_fired_per_shield_peg,"공격 후 보드에 있는 <sprite name=""PEG_SHIELDED"">당 <style=ballwark>1 보호막</style>을 얻습니다.",draft,,
Orbs/add_coins_on_draw,"이 구슬을 뽑을 때 보드에 <sprite name=""COIN_ONLY""> {[COINS_ON_DRAW]}개를 추가합니다.",draft,,
Orbs/add_damage_per_ballwark,<style=ballwark>보호막 1개</style>마다 <style=dmg_bonus>+{[DAMAGE_PER_STACK]}의 대미지</style>를 줍니다.,draft,,
Orbs/add_damage_per_rigged_bomb,"보드에 있는 <sprite name=""RIGGED_BOMB""> 하나당 대미지가 <style=dmg_bonus>+{[SPECIAL_PEG_DAMAGE_MULTIPLIER]}</style> 증가합니다.",draft,,
Orbs/add_damage_per_shield_peg,"보드에 있는 <sprite name=""PEG_SHIELDED""> 하나당 대미지가 <style=dmg_bonus>+{[SHIELD_DAMAGE_MULTIPLIER]}</style> 증가합니다.",draft,,
Orbs/add_finesse_per_crit,"구슬이 비행하는 동안 <sprite name=""CRIT_PEG"">가 {[NUMBER_OF_CRITS]}번 발동될 때마다 <style=finesse>정밀 1</style>을 얻습니다.",draft,,
Orbs/add_flat_damage_per_coins,"보유한 <sprite name=""GOLD""> 수의 <style=dmg_bonus>+{[DMG_PER_COINS_MUlTIPLIER]}배만큼 추가 대미지</style>를 줍니다.",draft,,
Orbs/add_gold_when_removed,"제거될 때 <sprite name=""GOLD""> {[ADD_GOLD]}개를 얻습니다.",draft,,
Orbs/add_strength_per_refresh,구슬이 비행하는 동안 보드가 {[NUMBER_OF_REFRESH]}번 새로고침될 때마다 <style=strength>근력 1</style>을 얻습니다.,draft,,
Orbs/add_strength_when_fired,공격 후 <style=strength>{[STATUS_EFFECT_GRANT_0]} 근력</style>을 얻습니다.,draft,,
Orbs/add_strength_when_fired_enemies,공격 후 모든 적에게 <style=strength>{[STRENGTH_GRANT_ENEMIES]} 근력</style>을 부여합니다.,draft,,
Orbs/add_temp_crit_when_drawn,"뽑으면 <sprite name=""TEMP_CRIT"">를 {[SPECIAL_PEGS]}개 생성합니다.",draft,,
Orbs/add_temp_refresh_when_drawn,"뽑으면 <sprite name=""TEMP_REFRESH"">를 {[SPECIAL_PEGS]}개 생성합니다.",draft,,
Orbs/adds_black_hole,공격 후 블랙홀을 추가합니다.,draft,,
Orbs/adds_static_fire_to_slot,구슬이 나간 슬롯에 불을 추가합니다.,draft,,
Orbs/all_orb_nothing_name,모 아니면 구,draft,,
Orbs/angry_tomahawk_name,분노한 토마호크,draft,,
Orbs/applies_exploitaball_crit_add,"<sprite name=""CRIT_PEG"">가 {[STATUS_EFFECT_CRIT_THRESHOLD]}번 발동될 때마다 <style=exploitaball>{[STATUS_EFFECT_CRIT_ADD]} 악용구</style>를 적용합니다.",draft,,
Orbs/applies_poison,명중 시 <style=poison>{[STATUS_EFFECT_AMOUNT]} 감염</style>을 적용합니다.,draft,,
Orbs/applies_poison_crit_add,치명타 발생 시 <style=poison>{[STATUS_EFFECT_CRIT_ADD]} 감염</style>을 추가로 적용합니다.,draft,,
Orbs/arccentuate_name,강조구,draft,,
Orbs/assemball_aoe,"어셈볼에 ""모든 적 공격"" 효과를 추가합니다.",draft,,
Orbs/assemball_assembly,어셈볼 파트,draft,,
Orbs/assemball_buff,"어셈볼에 ""<style=hit>명중</style>한 <sprite name=""PEG""> 업그레이드 <style=dmg_bonus>(+{[BUFF_AMOUNT]}의 대미지)</style>"" 효과를 추가합니다.",draft,,
Orbs/assemball_creates_orb,다른 어셈볼에 이 파트의 슬롯이 없다면 새로운 어셈볼을 생성합니다.,draft,,
Orbs/assemball_crit_damage,어셈볼에 <style=dmg_bonus>+0/{[ASSEMBALL_CRIT_DMG]}</style>를 추가합니다.,draft,,
Orbs/assemball_fully_formed,모두 모으면 <style=dmg_bonus>+{[FULLY_FORMED_DMG]}/+{[FULLY_FORMED_CRIT]}</style>를 획득합니다.,draft,,
Orbs/assemball_name,어셈볼,draft,,
Orbs/assemball_normal_damage,어셈볼에 <style=dmg_bonus>+{[ASSEMBALL_NORMAL_DMG]}/0</style>를 추가합니다.,draft,,
Orbs/assemball_part_green_name,업그레이드 섹터구,draft,,
Orbs/assemball_part_pink_name,슬라임 섹터구,draft,,
Orbs/assemball_part_red_name,대미지 섹터구,draft,,
Orbs/assemball_part_white_name,폭발 섹터구,draft,,
Orbs/assemball_part_yellow_name,치명타 섹터구,draft,,
Orbs/assemball_slime,"어셈볼에 ""<sprite name=""PEG"">에 {[SLIME_X_PEGS_HIT]}번 <style=hit>명중</style>할 때마다 <style=upgr_slime>고무 슬라임</style> 적용"" 효과를 추가합니다.",draft,,
Orbs/attacks_all_enemies,모든 적을 공격합니다.,draft,,
Orbs/attacks_flying_and_ground,선택한 열의 모든 적을 공격합니다.,draft,,
Orbs/attacks_flying_and_ground_on_crit,치명타 발생 시 선택한 열의 모든 적을 공격합니다.,draft,,
Orbs/ballad_name,악표구,draft,,
Orbs/ballanx_name,볼랑크스,draft,,
Orbs/ballectrum_name,볼렉트럼,draft,,
Orbs/ballestra_name,볼레스트라,draft,,
Orbs/balleviation_name,볼레비에이션,draft,,
Orbs/ballm_name,볼름,draft,,
Orbs/ballusion_per_coin,"<sprite name=""COIN_ONLY"">을 {[BALLUSION_COIN_PEGS_TO_HIT]}개 모을 때마다 <style=dodge>{[BALLUSION_PER_COIN_PEG]} 환각</style>을 얻습니다.",draft,,
Orbs/ballusion_per_coin_peg,"<sprite name=""PEG_COIN"">에 {[BALLUSION_COIN_PEGS_TO_HIT]}번 <style=hit>명중</style>할 때마다 <style=dodge>{[BALLUSION_PER_COIN_PEG]} 환각</style>을 얻습니다.",draft,,
Orbs/ballusion_per_peg,"<sprite name=""PEG"">에 {[BALLUSION_PEGS_TO_HIT]}번 <style=hit>명중</style>할 때마다 <style=dodge>{[BALLUSION_PER_PEG]} 환각</style>을 얻습니다.",draft,,
Orbs/best_foot_forworb_name,최선의 공걸음,draft,,
Orbs/best_orbfence_name,최고의 공격,draft,,
Orbs/big,큽니다.,draft,,
Orbs/blind_effect,공격한 적에게 <style=blind>{[BLIND_INTENSITY]} 어둠</style>을 적용합니다.,draft,,
Orbs/blind_ice_name,구드름을 향해,draft,,
Orbs/blind_name,어둠의 영구,draft,,
Orbs/blizzorb_name,설구,draft,,
Orbs/bomb_buff_both,"이번 전투에서 폭발한 <sprite name=""BOMB"">마다 <style=dmg_bonus>+{[BOMB_DMG]}/+{[BOMB_CRIT]}</style>를 얻습니다.",draft,,
Orbs/bomb_buff_name,충격 흡구,draft,,
Orbs/bomb_buff_regular,"이번 전투에서 폭발한 <sprite name=""BOMB_REGULAR"">마다 <style=dmg_bonus>+{[BOMB_DMG]}/+{[BOMB_CRIT]}</style>를 얻습니다.",draft,,
Orbs/bomb_buff_rigged,"이번 전투에서 폭발한 <sprite name=""RIGGED_BOMB"">마다 <style=dmg_bonus>+{[RIGGED_DMG]}/+{[RIGGED_CRIT]}</style>를 얻습니다.",draft,,
Orbs/bomborb_name,터지구,draft,,
Orbs/boost_ballance_strength_finesse,"이 구슬은 <style=strength>근력</style>, <style=finesse>정밀</style>, <style=balance>균형</style>의 영향을 {[BOOST_MULTIPLIER]}배로 받습니다",draft,,
Orbs/boost_finesse,이 구슬은 <style=finesse>정밀</style>의 영향을 {[BOOST_MULTIPLIER]}배로 받습니다,draft,,
Orbs/boulder_name,돌덩이,draft,,
Orbs/bouldorb_bonus_damage,덱에 있는 돌덩이 하나마다 대미지가 <style=dmg_bonus>+{[STONE_BONUS_DMG]}/+{[STONE_BONUS_CRIT]}</style> 늘어납니다.,draft,,
Orbs/bouncy,잘 튕깁니다.,draft,,
Orbs/bramble_immobilize,공격한 적에게 <style=bramble>{[THORN_INTENSITY]} 얽힘</style>을 적용합니다.,draft,,
Orbs/bramble_name,가시덤볼,draft,,
