Term,Translation,Status,ReviewedBuildId,Comment
Relics/a_good_slime_desc,"<sprite name=""PEG"">에 <style=upgr_slime>슬라임</style>을 적용할 때마다 해당 페그가 <style=dmg_bonus>+{[SLIME_PEG_BUFF_AMT]}</style> 업그레이드됩니다.",draft,,
Relics/a_good_slime_name,착한 슬라임,draft,,
Relics/abacus_desc,모든 적이 <style=exploitaball>{[EXPLOITABALL_ON_ENEMY_SPAWN_AMOUNT]} 악용구</style>를 가지고 시작합니다.,draft,,
Relics/abacus_name,쌓인 오브바쿠스,draft,,
Relics/add_ballusion_with_spawns_desc,적이 나타날 때마다 <style=dodge>{[BALLUSION_ON_ENEMY_SPAWN_AMOUNT]} 환각</style>을 얻습니다.,draft,,
Relics/add_ballusion_with_spawns_name,빠른 리카톤,draft,,
Relics/add_or_remove_crit_desc,"구슬을 뽑을 때 구슬의 기본 대미지가 치명타 대미지보다 높으면 보드에 <sprite name=""CRIT_PEG"">가 {[BALANCED_CRITS_AMOUNT]}개 줄어들고, 그렇지 않으면 <sprite name=""CRIT_PEG"">가 {[BALANCED_CRITS_AMOUNT]}개 추가됩니다.",draft,,
Relics/add_or_remove_crit_name,치명타 균형,draft,,
Relics/additional_battle_bombs_desc,"전투 중 <sprite name=""BOMB"">이 생성될 때마다 <sprite name=""BOMB_REGULAR"">를 하나 추가로 생성합니다.",draft,,
Relics/additional_battle_bombs_name,평행 붐니버스,draft,,
Relics/additional_bomb_damage2_desc,"<sprite name=""BOMB"">의 대미지가 {[ADDITIONAL_BOMB_DAMAGE2]} 증가합니다.",draft,,
Relics/additional_bomb_damage2_name,완성된 반응물,draft,,
Relics/additional_bomb_damage_desc,"<sprite name=""BOMB"">의 대미지가 {[ADDITIONAL_BOMB_DAMAGE]} 증가합니다.",draft,,
Relics/additional_bomb_damage_name,개선된 촉매,draft,,
Relics/additional_bombs_desc,"페그보드에 <sprite name=""BOMB_REGULAR"">이 {[ADDITIONAL_BOMBS]}개 더 생깁니다.",draft,,
Relics/additional_bombs_name,폭탄봉,draft,,
Relics/additional_crit1_desc,"페그보드에 <sprite name=""CRIT_PEG"">이 하나 더 생깁니다.",draft,,
Relics/additional_crit1_name,특별한 버튼,draft,,
Relics/additional_discard_desc,<style=dmg_bonus>구슬 버리기 횟수가 +{[ADDITIONAL_DISCARDS]}</style> 증가합니다.,draft,,
Relics/additional_discard_name,양손잡이 사전,draft,,
Relics/additional_gold_desc,"전투 시작 시 페그보드에 <sprite name=""COIN_ONLY"">가 {[ADDITIONAL_BATTLE_GOLD]}개 더 배치됩니다.",draft,,
Relics/additional_gold_name,녹은 골드,draft,,
Relics/additional_orb_relic_options_desc,전투 후 보상으로 받는 구슬이나 유물의 선택지가 하나 더 늘어납니다.,draft,,
Relics/additional_orb_relic_options_name,거북이 눈,draft,,
Relics/additional_peglin_options_desc,전투 보상과 상자의 선택지가 하나 더 생깁니다.,draft,,
Relics/additional_peglin_options_name,페글린의 직감,draft,,
Relics/additional_refresh1_desc,"페그보드에 <sprite name=""REFRESH_PEG"">이 하나 더 생깁니다.",draft,,
Relics/additional_refresh1_name,산뜻한 머리띠,draft,,
Relics/adjacency_bonus_desc,각 구슬은 뒤이어 연결된 같은 종류의 구슬 하나마다 <style=dmg_bonus>+{[BP_ADJ_DMG]}/+{[BP_ADJ_CRIT]}</style>를 얻습니다.,draft,,
Relics/adjacency_bonus_desc2,펩볼이 아닌 구슬은 같은 종류의 다른 구슬을 하나 소지할 때마다 <style=dmg_bonus>+{[BP_ADJ_DMG]}/+{[BP_ADJ_CRIT]}</style>를 얻습니다.,draft,,
Relics/adjacency_bonus_name,영웅의 가방,draft,,
Relics/aim_limiter_desc,"구슬이 <style=dmg_bonus>+{[AIM_LIMIT_STR]}/+{[AIM_LIMIT_CRIT]}</style>의 효과를 받지만, 4 방향으로만 조준할 수 있습니다.",draft,,
Relics/aim_limiter_desc2,"모든 구슬이 조준한 방향과 반대 방향으로 자신의 복사체를 발사하지만, 4개 방향만 조준할 수 있습니다.",draft,,
Relics/aim_limiter_desc3,"모든 구슬이 페그보드에 2개의 복제 구슬을 추가로 발사하지만, 모든 구슬의 대미지는 <style=dmg_negative>0.5배로 감소하며 (소수점 아래 버림)</style>, 조준은 네 방향으로만 가능합니다.",draft,,
Relics/aim_limiter_name,속박의 사슬,draft,,
Relics/all_attacks_pierce_desc,투사체 공격이 적을 추가로 관통합니다.,draft,,
Relics/all_attacks_pierce_desc2,"발사 순서가 소수(2, 3, 5, 7, 11…)일 때 적 하나를 추가로 관통합니다.",draft,,Restores the explicit prime-numbered shot rule; examples supplement it.
Relics/all_attacks_pierce_name,서리의 프라임 막대,draft,,
Relics/all_bombs_rigged_desc2,"모든 <sprite name=""BOMB_REGULAR"">이 <sprite name=""RIGGED_BOMB"">으로 바뀌고 <style=dmg_bonus>적에게 {[SAPPER_SACK_MULT]}배의 대미지를 줍니다</style>.",draft,,
Relics/all_bombs_rigged_name,공병의 가방,draft,,
