Term,Translation,Status,ReviewedBuildId,Comment
Statuses/activate_desc,"<style=activate>활성화</style>된 <sprite name=""PEG"">는 공격 대미지에 기여하고 특수 <sprite name=""PEG""> 효과를 발동합니다.",draft,,
Statuses/balance_desc,<style=balance>균형 X</style>는 모든 구슬의 대미지를 <style=dmg_bonus>+X/+X</style> 증가시킵니다.,draft,,
Statuses/balance_name,균형,draft,,
Statuses/balltiplier_desc,<style=balltiplier>구슬배수 X</style> 상태인 적은 공격할 때마다 대미지를 X번 줍니다.,draft,,
Statuses/balltiplier_name,구슬배수,draft,,
Statuses/blind3_desc,<style=blind>어둠 X</style>의 효과를 받은 적들은 X%의 확률로 공격이 빗나갑니다.,draft,,
Statuses/blind3_name,어둠,draft,,
Statuses/bombs_desc,"<sprite name=""BOMB_REGULAR"">는 두 번 활성화하면 폭발하며, 던졌을 때 모든 적에게 <style=damage>{[CRUC_BOMB_DMG]} 대미지</style>를 줍니다.",draft,,
Statuses/bouncy_slime_name,튕김,draft,,
Statuses/bramble_desc,"<style=bramble>얽힘</style> 상태인 적은 움직일 수 없으며, 이 적을 통과하는 다른 적에게 <style=damage>대미지</style>를 줍니다.",draft,,
Statuses/bramble_name,얽힘,draft,,
Statuses/confuse_desc,"<style=confuse>혼란</style> 상태일 때는 조준선이 마구 돌아가며, 구슬을 발사하는 타이밍만 제어할 수 있습니다.",draft,,
Statuses/confuse_name,혼란,draft,,
Statuses/damage_reduction_slime_name,대미지 감소,draft,,
Statuses/destroy_desc,"<sprite name=""PEG"">가 파괴되면 페그보드에서 영구적으로 제거됩니다.",draft,,
Statuses/dexterity_desc,<style=shield>보호막</style>을 획득하면 <style=dexterity>손재주 X</style>는 획득한 <style=shield>보호막</style>을 X만큼 증가시킵니다.,draft,,
Statuses/dexterity_name,손재주,draft,,
Statuses/dmg_limit_desc,<style=dmg_limit>인탱글볼 X</style>는 한 번의 공격이나 효과로 체력을 X보다 많이 잃지 않게 합니다.,draft,,
Statuses/dmg_limit_name,인탱글볼,draft,,
