Term,Translation,Status,ReviewedBuildId,Comment
Tutorial/bramble1,가시덤볼을 찾으셨군요! 이 구슬은 적에게 <style=bramble>얽힘</style> 효과를 부여합니다.,draft,,
Tutorial/bramble2,"<style=bramble>얽힘</style> 상태인 적은 움직일 수 없으며, 그 적을 통과하는 다른 적도 대미지를 받습니다!",draft,,
Tutorial/bramble3,적을 <style=bramble>얽힘</style> 상태로 만들면 멀리서 공격할 소중한 시간을 벌 수 있습니다!,draft,,
Tutorial/dagger1,"단구는 일반 공격의 대미지가 매우 낮지만... <sprite name=""CRIT_PEG"">를 맞혀 치명타를 내면 엄청나게 강합니다!",draft,,
Tutorial/dagger2,"이번 턴에 <sprite name=""CRIT_PEG"">를 맞히기 어려울 것 같다면, 왼쪽 구슬 정보 옆의 휴지통 아이콘으로 단구를 버릴 수 있습니다.",draft,,
Tutorial/dagger3,"치명타 <sprite name=""CRIT_PEG"">를 맞히면, <sprite name=""CRIT_PEG"">를 맞히기 전후로 맞힌 모든 페그에 치명타 대미지가 적용됩니다. 따라서 샷 도중 언제 맞혀도 상관없습니다.",draft,,
Tutorial/doctorb1,"나으라구를 찾았습니다! 체력도 기분도 북돋아 주는 훌륭한 구슬이지만, 업그레이드하지 않으면 한 번만 사용할 수 있습니다. 필요할 때까지 아끼고 싶다면 버리세요!",draft,,
Tutorial/heal1,"회복 구슬을 찾았습니다! 체력도 기분도 북돋아 주는 훌륭한 구슬입니다. 전투마다 한 번만 사용할 수 있지만, 버리면 전투 중 나중에 쓸 수 있도록 아껴 둘 수 있습니다.",draft,,
Tutorial/icicle1,구드름을 찾으셨군요! 이 구슬은 충돌하는 첫 번째 페그를 관통합니다. 구드름의 공격은 적도 관통하죠!,draft,,
Tutorial/icicle2,"구드름의 일반 공격은 하나의 적만 관통할 수 있지만, <sprite name=""CRIT_PEG""> 치명타는 모든 적을 관통합니다!",draft,,
Tutorial/lightning1,"천둥번구를 찾으셨군요! 이 구슬은 연쇄 번개를 통해 인접한 페그들도 활성화시킵니다. 또, 어떤 적이든 선택해 마음대로 공격할 수 있죠!",draft,,
Tutorial/lightning2,적을 선택하려면 해당 적을 클릭하세요. 선택한 적은 조준점으로 표시됩니다.[i2s_Touch]적을 선택하려면 해당 적을 터치하세요. 선택한 적은 조준점으로 표시됩니다.,draft,,
Tutorial/lightning3,천둥번구는 성가신 원거리 적을 처리하는 가장 좋은 수단 중 하나입니다.,draft,,
Tutorial/memorb1,다 기억한다구는 이번 전투에서 지금까지 어떤 구슬로든 맞힌 페그 수에 따라 추가 대미지를 얻는 매우 강력한 구슬입니다!,draft,,
Tutorial/memorb2,"위력을 충분히 끌어올리려면 시간이 필요하고, 레벨 3 전에는 전투마다 한 번만 사용할 수 있습니다. 한두 번 버려서 힘을 모으는 것도 좋습니다.",draft,,
Tutorial/memorb3,"다 기억한다구는 어느 적이든 노릴 수 있으니, 발사하기 전에 반드시 대상을 선택하세요!",draft,,
